ID,FDAT,Calving Season Code,DIMatheat,DIM at Heat Code,Lact,Parity,heat_DATE,Heat Date Code,SB_FHIACBAR,SB_HTSTARTS,SB_HTENDS,SB_PROB,Heat Probability Category,SB_RUMINDEC,SB_RDTIM,SB_RUMHOUR,DC_BRDAT,DC_BRTIM,SIR,Sire Code,BCODE,DC_ACLEV,DC_ACDAT,DC_ACTIM,outcome,AMW5,AMW7,Code for milk @ 7 Weeks,AMW14,M305,CDAT,DCC_IF_P,PDCC,DDRY,EASE,Ease Code,Calf Sex and Survival,TWIN,DOA,OBSERV.,,,,,,,,,
4556,2/11/20,0,139,3,3,Multiparous,6/29/20,1,4:00:00,4:45:00,18:08:00,100,5,NO,.,.,6/29/20,5,BEEF,1,H,100,6/29/20,4,P ,3090,4880,4,10250,28610,6/29/20,0,287,57,1,No problem,FA       ,S,0,,,,,,,,,,
6573,6/21/20,1,34,1,1,Primiparous,7/25/20,1,23:00:00,5:07:00,19:07:00,100,5,YES,22:00:00,6,.,.,.,0,.,100,7/25/20,5,.,2270,3560,3,5400,21470,.,.,272,0,1,No problem,FA       ,S,0,FRESH,,,,,,,,,
6330,3/22/20,0,74,2,1,Primiparous,6/4/20,1,20:00:00,5:08:00,20:07:00,100,5,YES,0:00:00,13,6/4/20,5,BEEF,1,X,100,6/4/20,5,P ,1040,1800,1,4630,16270,6/4/20,0,276,0,1,No problem,FA       ,S,0,.,,,,,,,,,
5838,1/13/20,0,141,3,1,Primiparous,6/2/20,1,22:00:00,5:08:00,20:07:00,100,5,YES,22:00:00,7,6/2/20,5,SEXED,2,K,100,6/2/20,5,P ,2060,3180,3,6330,23900,6/2/20,0,273,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6282,2/25/20,0,120,3,1,Primiparous,6/24/20,1,0:00:00,5:08:00,21:08:00,100,5,YES,22:00:00,8,6/24/20,15,BEEF,1,H,100,6/24/20,5,O ,2220,3440,3,7380,21130,.,.,271,0,1,No problem,MA       ,S,0,,,,,,,,,,
6165,2/1/20,0,114,3,1,Primiparous,5/25/20,0,2:00:00,5:08:00,20:08:00,100,5,YES,0:00:00,2,5/25/20,16,SEXED,2,H,100,5/25/20,5,A ,2300,3510,3,7200,23540,.,.,275,0,1,No problem,FA       ,S,0,.,,,,,,,,,
4638,1/15/20,0,138,3,3,Multiparous,6/1/20,1,1:00:00,5:08:00,21:08:00,100,5,YES,21:00:00,12,6/1/20,17,BEEF,1,H,100,6/1/20,5,O ,3240,4780,4,9110,23610,.,.,279,51,1,No problem,FA       ,S,0,.,,,,,,,,,
5140,2/20/20,0,135,3,2,Multiparous,7/4/20,1,0:00:00,5:08:00,22:08:00,100,5,YES,23:00:00,7,7/4/20,15,BEEF,1,H,100,7/4/20,5,O ,3280,5020,5,10080,27360,.,.,279,54,1,No problem,FA       ,S,0,,,,,,,,,,
5140,2/20/20,0,112,3,2,Multiparous,6/11/20,1,2:00:00,5:08:00,23:11:00,100,5,YES,12:00:00,6,6/11/20,5,BEEF,1,K,100,6/11/20,5,O ,3280,5020,5,10080,27360,.,.,279,54,1,No problem,FA       ,S,0,.,,,,,,,,,
5675,5/17/20,0,69,2,2,Multiparous,7/25/20,1,0:00:00,6:07:00,20:07:00,100,5,YES,0:00:00,6,7/25/20,16,SEXED,2,K,100,7/25/20,6,O ,3240,4970,4,10010,26380,.,.,284,55,1,No problem,MA       ,S,0,CUHT=YES,,,,,,,,,
6146,1/1/20,0,162,4,1,Primiparous,6/11/20,1,21:00:00,6:08:00,23:08:00,100,5,YES,23:00:00,9,6/11/20,15,BEEF,1,X,100,6/11/20,6,P ,2020,2990,2,6080,21220,6/11/20,0,274,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6246,2/14/20,0,113,3,1,Primiparous,6/6/20,1,3:00:00,6:08:00,22:07:00,100,5,YES,23:00:00,8,6/6/20,16,SEXED,2,R,100,6/6/20,6,O ,1970,3050,3,6460,21340,.,.,278,0,1,No problem,FA       ,S,0,.,,,,,,,,,
6041,1/13/20,0,150,4,1,Primiparous,6/11/20,1,20:00:00,6:08:00,19:07:00,100,5,YES,1:00:00,6,6/11/20,15,SEXED,2,O,100,6/11/20,6,O ,2230,3290,3,6800,23850,.,.,278,0,1,No problem,MA       ,S,0,.,,,,,,,,,
5546,5/2/20,0,65,2,2,Multiparous,7/6/20,1,0:00:00,6:08:00,22:08:00,100,5,YES,23:00:00,9,7/6/20,16,SEXED,2,K,100,7/6/20,6,O ,2800,4300,4,8880,23550,.,.,277,47,1,No problem,FA       ,S,0,CUHT=YES,,,,,,,,,
4039,6/3/20,1,46,1,4,Multiparous,7/19/20,1,22:00:00,6:08:00,18:08:00,100,5,YES,1:00:00,9,.,.,.,0,.,100,7/19/20,6,.,3140,4840,4,9440,24430,.,.,278,51,1,No problem,MA       ,S,0,FRESH,,,,,,,,,
4102,12/23/19,0,168,4,3,Multiparous,6/8/20,1,2:00:00,6:08:00,22:07:00,100,5,YES,2:00:00,11,6/8/20,16,BEEF,1,K,100,6/8/20,6,P ,3400,5000,5,9810,26910,6/8/20,0,287,56,1,No problem,FA       ,S,0,wrong A.I hour and GAP in D.C (4 INSTEAD OF 16); corrected by Ana ,,,,,,,,,
5041,7/11/19,1,389,7,2,Multiparous,8/3/20,1,4:00:00,6:08:00,22:08:00,100,5,YES,11:00:00,22,.,.,.,0,.,100,8/3/20,6,.,3370,5160,5,10560,34040,.,.,284,52,1,No problem,MA       ,S,0,DNB,,,,,,,,,
6393,3/24/20,0,96,2,1,Primiparous,6/28/20,1,22:00:00,6:09:00,19:07:00,100,5,YES,2:00:00,5,6/28/20,16,SEXED,2,H,100,6/28/20,6,O ,1400,2210,2,4960,17500,.,.,266,0,1,No problem,FA       ,S,0,,,,,,,,,,
6198,4/5/20,0,111,3,1,Primiparous,7/25/20,1,0:00:00,7:07:00,12:07:00,100,5,YES,23:00:00,9,.,.,.,0,.,100,7/25/20,7,.,1880,2860,2,6270,21200,.,.,278,0,3,Needed Assistance,FD       ,S,1,DNB,,,,,,,,,
4889,1/25/20,0,149,3,2,Multiparous,6/22/20,1,5:00:00,7:07:00,0:07:00,100,5,YES,2:00:00,10,6/22/20,16,BEEF,1,H,100,6/22/20,7,O ,2520,3850,3,8000,22250,7/16/20,.,287,61,3,Needed Assistance,MD       ,S,1,.,,,,,,,,,
6269,2/24/20,0,116,3,1,Primiparous,6/19/20,1,4:00:00,7:07:00,21:07:00,100,5,YES,2:00:00,5,6/19/20,15,SEXED,2,H,NO DATA= SB-DC SYNCH PROBLEM,NO DATA= SB-DC SYNCH PROBLEM,NO DATA= SB-DC SYNCH PROBLEM,A ,1900,3060,3,6470,22130,.,.,269,0,1,No problem,FA       ,S,0,.,,,,,,,,,
